Drug_A,Drug_B,Level,Drug_A_MolecularWeight,Drug_A_XLogP,Drug_A_ExactMass,Drug_A_TPSA,Drug_B_MolecularWeight,Drug_B_XLogP,Drug_B_ExactMass,Drug_B_TPSA,Drug_A_ID,Drug_B_ID,Level_ID
Nitisinone,Abiraterone,Moderate,329.23,2.3,329.05110691,97.0,349.5,4.6,349.240564612,33.1,26,14,2
Ondansetron,Abiraterone,Moderate,293.4,2.3,293.152812238,39.8,349.5,4.6,349.240564612,33.1,27,14,2
Palonosetron,Abiraterone,Moderate,296.4,2.8,296.188863393,23.6,349.5,4.6,349.240564612,33.1,28,14,2
Papaverine,Abiraterone,Major,339.4,3.9,339.14705815,49.8,349.5,4.6,349.240564612,33.1,29,14,3
Phenolphthalein,Abiraterone,Moderate,318.3,3.6,318.08920892,66.8,349.5,4.6,349.240564612,33.1,30,14,2
Pioglitazone,Abiraterone,Moderate,356.4,3.8,356.11946368,93.6,349.5,4.6,349.240564612,33.1,31,14,2
Repaglinide,Abiraterone,Moderate,452.6,5.2,452.26750763,78.9,349.5,4.6,349.240564612,33.1,32,14,2
Rosiglitazone,Abiraterone,Moderate,357.4,3.1,357.11471265,96.8,349.5,4.6,349.240564612,33.1,33,14,2
Aprepitant,Paclitaxel,Moderate,534.4,4.2,534.15018768,75.2,853.9,2.5,853.3309553,221.0,3,35,2
Ascorbic acid,Paclitaxel,Minor,176.12,-1.6,176.03208797,107.0,853.9,2.5,853.3309553,221.0,34,35,1
Cimetidine,Paclitaxel,Moderate,252.34,0.4,252.11571571,114.0,853.9,2.5,853.3309553,221.0,4,35,2
Clarithromycin,Paclitaxel,Moderate,748.0,3.2,747.47689126,183.0,853.9,2.5,853.3309553,221.0,5,35,2
Clotrimazole,Paclitaxel,Moderate,344.8,5.0,344.1080262,17.8,853.9,2.5,853.3309553,221.0,6,35,2
Paclitaxel,Dexamethasone,Moderate,853.9,2.5,853.3309553,221.0,392.5,1.9,392.19990218,94.8,35,7,2
Paclitaxel,Eliglustat,Moderate,853.9,2.5,853.3309553,221.0,404.5,3.7,404.26750763,71.0,35,463,2
Levofloxacin,Paclitaxel,Minor,361.4,-0.4,361.14378429,73.3,853.9,2.5,853.3309553,221.0,22,35,1
Metronidazole,Paclitaxel,Moderate,171.15,0.0,171.06439116,83.9,853.9,2.5,853.3309553,221.0,25,35,2
Miconazole,Paclitaxel,Moderate,416.1,5.3,415.983074,27.1,853.9,2.5,853.3309553,221.0,10,35,2
Paclitaxel,Rolapitant,Moderate,853.9,2.5,853.3309553,221.0,500.5,4.4,500.18984705,50.4,35,510,2
Rosuvastatin,Paclitaxel,Moderate,481.5,1.6,481.16828496,149.0,853.9,2.5,853.3309553,221.0,36,35,2
Simvastatin,Paclitaxel,Moderate,418.6,4.7,418.27192431,72.8,853.9,2.5,853.3309553,221.0,37,35,2
Tinidazole,Paclitaxel,Moderate,247.27,-0.4,247.06267708,106.0,853.9,2.5,853.3309553,221.0,38,35,2
Troglitazone,Paclitaxel,Moderate,441.5,5.1,441.16099414,110.0,853.9,2.5,853.3309553,221.0,11,35,2
Betamethasone,Isotretinoin,Moderate,392.5,1.9,392.19990218,94.8,300.4,6.3,300.208930132,37.3,13,39,2
Isotretinoin,Budesonide,Moderate,300.4,6.3,300.208930132,37.3,430.5,2.5,430.2355388,93.1,39,459,2
Isotretinoin,Dexamethasone,Moderate,300.4,6.3,300.208930132,37.3,392.5,1.9,392.19990218,94.8,39,7,2
Doxycycline,Isotretinoin,Major,444.4,-0.7,444.15326573,182.0,300.4,6.3,300.208930132,37.3,40,39,3
Hydrocortisone,Isotretinoin,Moderate,362.5,1.6,362.20932405,94.8,300.4,6.3,300.208930132,37.3,41,39,2
Isotretinoin,Minocycline,Major,300.4,6.3,300.208930132,37.3,457.5,-0.6,457.18490021,165.0,39,547,3
Naltrexone,Isotretinoin,Moderate,341.4,1.9,341.16270821,70.0,300.4,6.3,300.208930132,37.3,1,39,2
Nitisinone,Isotretinoin,Moderate,329.23,2.3,329.05110691,97.0,300.4,6.3,300.208930132,37.3,26,39,2
Prednisolone,Isotretinoin,Moderate,360.4,1.6,360.19367399,94.8,300.4,6.3,300.208930132,37.3,42,39,2
Prednisone,Isotretinoin,Moderate,358.4,1.5,358.17802393,91.7,300.4,6.3,300.208930132,37.3,43,39,2
Tetracycline,Isotretinoin,Major,444.4,-2.0,444.15326573,182.0,300.4,6.3,300.208930132,37.3,44,39,3
Triamcinolone,Isotretinoin,Moderate,394.4,1.2,394.17916674,115.0,300.4,6.3,300.208930132,37.3,45,39,2
Vitamin A,Isotretinoin,Major,286.5,5.7,286.229665576,20.2,300.4,6.3,300.208930132,37.3,46,39,3
Fentanyl,Alvimopan,Major,336.5,4.0,336.220163521,23.6,424.5,1.7,424.23620751,89.9,47,462,3
Aprepitant,Fentanyl,Major,534.4,4.2,534.15018768,75.2,336.5,4.0,336.220163521,23.6,3,47,3
Atropine,Fentanyl,Moderate,289.4,1.8,289.1677936,49.8,336.5,4.0,336.220163521,23.6,48,47,2
Fentanyl,Bupropion,Major,336.5,4.0,336.220163521,23.6,239.74,3.2,239.1076919,29.1,47,97,3
Cimetidine,Fentanyl,Moderate,252.34,0.4,252.11571571,114.0,336.5,4.0,336.220163521,23.6,4,47,2
Fentanyl,Clarithromycin,Major,336.5,4.0,336.220163521,23.6,748.0,3.2,747.47689126,183.0,47,5,3
Clidinium,Fentanyl,Moderate,352.4,3.3,352.19126869,46.5,336.5,4.0,336.220163521,23.6,49,47,2
Clotrimazole,Fentanyl,Major,344.8,5.0,344.1080262,17.8,336.5,4.0,336.220163521,23.6,6,47,3
Fentanyl,Dexamethasone,Major,336.5,4.0,336.220163521,23.6,392.5,1.9,392.19990218,94.8,47,7,3
Fentanyl,Dexfenfluramine,Major,336.5,4.0,336.220163521,23.6,231.26,3.4,231.123484,12.0,47,16,3
Dicyclomine,Fentanyl,Moderate,309.5,5.5,309.266779359,29.5,336.5,4.0,336.220163521,23.6,50,47,2
Dolasetron,Fentanyl,Major,324.4,3.4,324.1473925,62.4,336.5,4.0,336.220163521,23.6,17,47,3
Dronabinol,Fentanyl,Moderate,314.5,7.0,314.224580195,29.5,336.5,4.0,336.220163521,23.6,51,47,2
Fentanyl,Eluxadoline,Moderate,336.5,4.0,336.220163521,23.6,569.6,0.9,569.26381923,165.0,47,298,2
Fenfluramine,Fentanyl,Major,231.26,3.4,231.123484,12.0,336.5,4.0,336.220163521,23.6,19,47,3
Fentanyl,Glycerol phenylbutyrate,Moderate,336.5,4.0,336.220163521,23.6,530.6,6.7,530.26683893,78.9,47,63,2
Fentanyl,Glycopyrronium,Moderate,336.5,4.0,336.220163521,23.6,318.4,3.1,318.20691876,46.5,47,91,2
Fentanyl,Granisetron,Major,336.5,4.0,336.220163521,23.6,312.4,2.8,312.1950114,50.2,47,20,3
Hyoscyamine,Fentanyl,Moderate,289.4,1.8,289.1677936,49.8,336.5,4.0,336.220163521,23.6,52,47,2
Fentanyl,Lorcaserin,Major,336.5,4.0,336.220163521,23.6,195.69,2.7,195.0814771,12.0,47,414,3
Mazindol,Fentanyl,Moderate,284.74,2.2,284.0716407,35.8,336.5,4.0,336.220163521,23.6,53,47,2
Fentanyl,Mepenzolate,Moderate,336.5,4.0,336.220163521,23.6,340.4,3.2,340.19126869,46.5,47,294,2
Fentanyl,Methscopolamine,Moderate,336.5,4.0,336.220163521,23.6,318.4,1.3,318.17053325,59.1,47,738,2
Fentanyl,Metoclopramide,Moderate,336.5,4.0,336.220163521,23.6,299.79,2.6,299.1400546,67.6,47,24,2
Fentanyl,Miconazole,Moderate,336.5,4.0,336.220163521,23.6,416.1,5.3,415.983074,27.1,47,10,2
Morphine,Fentanyl,Major,285.34,0.8,285.13649347,52.9,336.5,4.0,336.220163521,23.6,54,47,3
Nabilone,Fentanyl,Moderate,372.5,6.4,372.26644501,46.5,336.5,4.0,336.220163521,23.6,55,47,2
Fentanyl,Naloxone,Moderate,336.5,4.0,336.220163521,23.6,327.4,2.1,327.14705815,70.0,47,108,2
Naltrexone,Fentanyl,Major,341.4,1.9,341.16270821,70.0,336.5,4.0,336.220163521,23.6,1,47,3
Fentanyl,Ondansetron,Major,336.5,4.0,336.220163521,23.6,293.4,2.3,293.152812238,39.8,47,27,3
Palonosetron,Fentanyl,Major,296.4,2.8,296.188863393,23.6,336.5,4.0,336.220163521,23.6,28,47,3
Phentermine,Fentanyl,Moderate,149.23,1.9,149.120449483,26.0,336.5,4.0,336.220163521,23.6,56,47,2
Propantheline,Fentanyl,Moderate,368.5,4.2,368.22256882,35.5,336.5,4.0,336.220163521,23.6,57,47,2
Scopolamine,Fentanyl,Moderate,303.35,0.9,303.14705815,62.3,336.5,4.0,336.220163521,23.6,58,47,2
Fentanyl,Sibutramine,Major,336.5,4.0,336.220163521,23.6,279.8,5.4,279.1753775,3.2,47,70,3
Troglitazone,Fentanyl,Moderate,441.5,5.1,441.16099414,110.0,336.5,4.0,336.220163521,23.6,11,47,2
Trospium,Fentanyl,Moderate,392.5,4.4,392.22256882,46.5,336.5,4.0,336.220163521,23.6,59,47,2
Aprepitant,Acalabrutinib,Major,534.4,4.2,534.15018768,75.2,465.5,3.0,465.191323,119.0,3,1056,3
Acetylsalicylic acid,Acalabrutinib,Major,180.16,1.2,180.04225873,63.6,465.5,3.0,465.191323,119.0,60,1056,3
Cimetidine,Acalabrutinib,Moderate,252.34,0.4,252.11571571,114.0,465.5,3.0,465.191323,119.0,4,1056,2
Clarithromycin,Acalabrutinib,Major,748.0,3.2,747.47689126,183.0,465.5,3.0,465.191323,119.0,5,1056,3
Clotrimazole,Acalabrutinib,Moderate,344.8,5.0,344.1080262,17.8,465.5,3.0,465.191323,119.0,6,1056,2
Dexamethasone,Acalabrutinib,Moderate,392.5,1.9,392.19990218,94.8,465.5,3.0,465.191323,119.0,7,1056,2
Dexfenfluramine,Acalabrutinib,Moderate,231.26,3.4,231.123484,12.0,465.5,3.0,465.191323,119.0,16,1056,2
Dexlansoprazole,Acalabrutinib,Major,369.4,2.8,369.07588236,87.1,465.5,3.0,465.191323,119.0,61,1056,3
Esomeprazole,Acalabrutinib,Major,345.4,2.2,345.11471265,96.3,465.5,3.0,465.191323,119.0,62,1056,3
Famotidine,Acalabrutinib,Moderate,337.5,-0.6,337.04493627,238.0,465.5,3.0,465.191323,119.0,18,1056,2
Fenfluramine,Acalabrutinib,Moderate,231.26,3.4,231.123484,12.0,465.5,3.0,465.191323,119.0,19,1056,2
Glycerol phenylbutyrate,Acalabrutinib,Moderate,530.6,6.7,530.26683893,78.9,465.5,3.0,465.191323,119.0,63,1056,2
Lansoprazole,Acalabrutinib,Major,369.4,2.8,369.07588236,87.1,465.5,3.0,465.191323,119.0,64,1056,3
Miconazole,Acalabrutinib,Moderate,416.1,5.3,415.983074,27.1,465.5,3.0,465.191323,119.0,10,1056,2
Nizatidine,Acalabrutinib,Moderate,331.5,1.6,331.11366728,140.0,465.5,3.0,465.191323,119.0,65,1056,2
Omeprazole,Acalabrutinib,Major,345.4,2.2,345.11471265,96.3,465.5,3.0,465.191323,119.0,66,1056,3
Pantoprazole,Acalabrutinib,Major,383.4,2.4,383.07513347,106.0,465.5,3.0,465.191323,119.0,67,1056,3
Rabeprazole,Acalabrutinib,Major,359.4,1.9,359.13036271,96.3,465.5,3.0,465.191323,119.0,68,1056,3
Ranitidine,Acalabrutinib,Moderate,314.41,0.3,314.14126175,112.0,465.5,3.0,465.191323,119.0,69,1056,2
Sibutramine,Acalabrutinib,Moderate,279.8,5.4,279.1753775,3.2,465.5,3.0,465.191323,119.0,70,1056,2
Troglitazone,Acalabrutinib,Moderate,441.5,5.1,441.16099414,110.0,465.5,3.0,465.191323,119.0,11,1056,2
Acarbose,Acetazolamide,Moderate,645.6,-8.5,645.24801352,321.0,222.3,-0.3,221.98813241,152.0,71,155,2
Acarbose,Albiglutide,Minor,645.6,-8.5,645.24801352,321.0,3283.6,-14.6,3282.65028,1390.0,71,380,1
Acarbose,Salbutamol,Moderate,645.6,-8.5,645.24801352,321.0,239.31,0.3,239.15214353,72.7,71,110,2
Acarbose,Alpelisib,Moderate,645.6,-8.5,645.24801352,321.0,441.5,3.2,441.14463062,129.0,71,512,2
Lipoic acid,Acarbose,Minor,206.3,1.7,206.04352203,87.9,645.6,-8.5,645.24801352,321.0,72,71,1
Acarbose,Amcinonide,Minor,645.6,-8.5,645.24801352,321.0,502.6,3.6,502.23668161,99.1,71,381,1
Acarbose,Amprenavir,Moderate,645.6,-8.5,645.24801352,321.0,505.6,2.9,505.22465702,140.0,71,334,2
Acarbose,Anisindione,Minor,645.6,-8.5,645.24801352,321.0,252.26,2.9,252.078644241,43.4,71,260,1
Acarbose,Aripiprazole,Moderate,645.6,-8.5,645.24801352,321.0,448.4,4.6,447.1480325,44.8,71,382,2
Acarbose,Asenapine,Moderate,645.6,-8.5,645.24801352,321.0,285.8,3.8,285.0920418,12.5,71,383,2
Acarbose,Atazanavir,Moderate,645.6,-8.5,645.24801352,321.0,704.9,5.6,704.38974802,171.0,71,261,2
Acarbose,Bedaquiline,Moderate,645.6,-8.5,645.24801352,321.0,555.5,7.2,554.15689,45.6,71,741,2
Acarbose,Bendroflumethiazide,Moderate,645.6,-8.5,645.24801352,321.0,421.4,1.2,421.03778277,135.0,71,262,2
Acarbose,Benzphetamine,Moderate,645.6,-8.5,645.24801352,321.0,239.35,4.1,239.167399674,3.2,71,114,2
Acarbose,Benzthiazide,Moderate,645.6,-8.5,645.24801352,321.0,431.9,1.7,430.9834972,161.0,71,263,2
Acarbose,Betamethasone,Moderate,645.6,-8.5,645.24801352,321.0,392.5,1.9,392.19990218,94.8,71,13,2
Acarbose,Brexpiprazole,Moderate,645.6,-8.5,645.24801352,321.0,433.6,4.7,433.18239829,73.1,71,788,2
Acarbose,Brigatinib,Moderate,645.6,-8.5,645.24801352,321.0,584.1,4.6,583.2591382,85.9,71,789,2
Acarbose,Bumetanide,Moderate,645.6,-8.5,645.24801352,321.0,364.4,2.8,364.10929292,127.0,71,264,2
Acarbose,Cannabidiol,Moderate,645.6,-8.5,645.24801352,321.0,314.5,6.5,314.224580195,40.5,71,1057,2
Acarbose,Cariprazine,Moderate,645.6,-8.5,645.24801352,321.0,427.4,4.3,426.195317,38.8,71,384,2
Acarbose,Ceritinib,Moderate,645.6,-8.5,645.24801352,321.0,558.1,6.4,557.2227389,114.0,71,815,2
Acarbose,Activated charcoal,Moderate,645.6,-8.5,645.24801352,321.0,12.011,0.6,12.0,0.0,71,1058,2
Acarbose,Chlorothiazide,Moderate,645.6,-8.5,645.24801352,321.0,295.7,-0.2,294.9488257,135.0,71,267,2
Acarbose,Chlorpromazine,Moderate,645.6,-8.5,645.24801352,321.0,318.9,5.2,318.0957475,31.8,71,173,2
Acarbose,Chlorthalidone,Moderate,645.6,-8.5,645.24801352,321.0,338.8,0.9,338.0128057,118.0,71,268,2
Acarbose,Cinoxacin,Moderate,645.6,-8.5,645.24801352,321.0,262.22,2.1,262.05897142,88.4,71,385,2
Acarbose,Ciprofloxacin,Moderate,645.6,-8.5,645.24801352,321.0,331.34,-1.1,331.13321961,72.9,71,174,2
Acarbose,Clarithromycin,Moderate,645.6,-8.5,645.24801352,321.0,748.0,3.2,747.47689126,183.0,71,5,2
Acarbose,Clofarabine,Moderate,645.6,-8.5,645.24801352,321.0,303.68,0.9,303.0534451,119.0,71,487,2
Acarbose,Clozapine,Moderate,645.6,-8.5,645.24801352,321.0,326.8,3.1,326.1298243,30.9,71,177,2
Acarbose,Copanlisib,Moderate,645.6,-8.5,645.24801352,321.0,480.5,0.3,480.2233514,140.0,71,978,2
Acarbose,Corticotropin,Moderate,645.6,-8.5,645.24801352,321.0,4541.0,-19.7,4540.2660828,1860.0,71,386,2
Acarbose,Tetracosactide,Moderate,645.6,-8.5,645.24801352,321.0,2933.4,-7.9,2932.5839961,1180.0,71,387,2
Acarbose,Dabrafenib,Moderate,645.6,-8.5,645.24801352,321.0,519.6,4.8,519.10105173,147.0,71,889,2
Acarbose,Danazol,Moderate,645.6,-8.5,645.24801352,321.0,337.5,3.8,337.204179104,46.3,71,388,2
Acarbose,Darunavir,Moderate,645.6,-8.5,645.24801352,321.0,547.7,2.9,547.2352217,149.0,71,389,2
Acarbose,Deflazacort,Moderate,645.6,-8.5,645.24801352,321.0,441.5,2.0,441.21513771,102.0,71,899,2
Acarbose,Delafloxacin,Moderate,645.6,-8.5,645.24801352,321.0,440.8,2.7,440.0499171,120.0,71,901,2
Acarbose,Dexamethasone,Moderate,645.6,-8.5,645.24801352,321.0,392.5,1.9,392.19990218,94.8,71,7,2
Acarbose,Dexfenfluramine,Moderate,645.6,-8.5,645.24801352,321.0,231.26,3.4,231.123484,12.0,71,16,2
Acarbose,Diazoxide,Moderate,645.6,-8.5,645.24801352,321.0,230.67,1.2,229.9916763,66.9,71,390,2
Acarbose,Diclofenamide,Moderate,645.6,-8.5,645.24801352,321.0,305.2,0.3,303.9146044,137.0,71,391,2
Dicoumarol,Acarbose,Minor,336.3,2.6,336.0633881,93.1,645.6,-8.5,645.24801352,321.0,73,71,1
Acarbose,Diethylpropion,Moderate,645.6,-8.5,645.24801352,321.0,205.3,2.8,205.14666423,20.3,71,118,2
Diethylstilbestrol,Acarbose,Moderate,268.3,5.1,268.146329876,40.5,645.6,-8.5,645.24801352,321.0,74,71,2
Acarbose,Digitoxin,Moderate,645.6,-8.5,645.24801352,321.0,764.9,2.3,764.43469209,183.0,71,858,2
Acarbose,Digoxin,Moderate,645.6,-8.5,645.24801352,321.0,780.9,1.3,780.42960671,203.0,71,271,2
Acarbose,Dobutamine,Moderate,645.6,-8.5,645.24801352,321.0,301.4,3.4,301.1677936,72.7,71,392,2
Acarbose,Dopamine,Moderate,645.6,-8.5,645.24801352,321.0,153.18,-1.0,153.078978594,66.5,71,393,2
Acarbose,Drospirenone,Moderate,645.6,-8.5,645.24801352,321.0,366.5,3.5,366.21949481,43.4,71,394,2
Acarbose,Efavirenz,Moderate,645.6,-8.5,645.24801352,321.0,315.67,4.0,315.0273907,38.3,71,186,2
Acarbose,Enoxacin,Moderate,645.6,-8.5,645.24801352,321.0,320.32,-0.2,320.12846858,85.8,71,187,2
Acarbose,Ephedrine,Moderate,645.6,-8.5,645.24801352,321.0,165.23,0.9,165.115364102,32.3,71,395,2
Acarbose,Epinephrine,Moderate,645.6,-8.5,645.24801352,321.0,183.2,-1.4,183.08954328,72.7,71,99,2
Acarbose,Epirubicin,Moderate,645.6,-8.5,645.24801352,321.0,543.5,1.3,543.17406074,206.0,71,189,2
Acarbose,Estradiol,Moderate,645.6,-8.5,645.24801352,321.0,272.4,4.0,272.177630004,40.5,71,396,2
Acarbose,Estramustine,Moderate,645.6,-8.5,645.24801352,321.0,440.4,4.0,439.1680992,49.8,71,397,2
Acarbose,Estrone,Moderate,645.6,-8.5,645.24801352,321.0,270.4,3.1,270.16197994,37.3,71,346,2
Acarbose,Estrone sulfate,Moderate,645.6,-8.5,645.24801352,321.0,350.4,2.5,350.11879497,89.1,71,398,2
Acarbose,Etacrynic acid,Moderate,645.6,-8.5,645.24801352,321.0,303.13,3.8,302.0112642,63.6,71,272,2
Acarbose,Ethanol,Moderate,645.6,-8.5,645.24801352,321.0,46.07,-0.1,46.041864811,20.2,71,399,2
Acarbose,Ethinylestradiol,Moderate,645.6,-8.5,645.24801352,321.0,296.4,3.7,296.177630004,40.5,71,330,2
Acarbose,Etonogestrel,Moderate,645.6,-8.5,645.24801352,321.0,324.5,3.3,324.208930132,37.3,71,400,2
Acarbose,Everolimus,Moderate,645.6,-8.5,645.24801352,321.0,958.2,5.9,957.58135632,205.0,71,401,2
Acarbose,Fenfluramine,Moderate,645.6,-8.5,645.24801352,321.0,231.26,3.4,231.123484,12.0,71,19,2
Acarbose,Fludrocortisone,Moderate,645.6,-8.5,645.24801352,321.0,380.4,1.7,380.19990218,94.8,71,402,2
Acarbose,Fluphenazine,Moderate,645.6,-8.5,645.24801352,321.0,437.5,4.4,437.17486812,55.3,71,196,2
Acarbose,Formoterol,Moderate,645.6,-8.5,645.24801352,321.0,344.4,1.8,344.17360725,90.8,71,124,2
Acarbose,Fosamprenavir,Moderate,645.6,-8.5,645.24801352,321.0,585.6,1.8,585.19098791,186.0,71,403,2
Acarbose,Fosphenytoin,Moderate,645.6,-8.5,645.24801352,321.0,362.27,0.6,362.0667732,116.0,71,404,2
Acarbose,Furosemide,Moderate,645.6,-8.5,645.24801352,321.0,330.74,2.0,330.0077203,131.0,71,274,2
Acarbose,Gatifloxacin,Major,645.6,-8.5,645.24801352,321.0,375.4,-0.7,375.15943435,82.1,71,405,3
